"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Top Level",Homepage?,"Toggle URL"
3,"Navigation Page","Navigation Page",basic_page,/housing-help/buying-home-programs,217,"Home buying assistance",https://www.usa.gov/housing-help/buying-home-programs,Home,"Housing help","Home buying assistance","Home buying assistance","Home buying assistance","Home buying assistance","USAGov English",not_homepage,https://www.usa.gov/es/programas-gobierno-comprar-vivienda
3,"Navigation Page","Navigation Page",basic_page,/housing-help/rental-housing-programs,214,"Rental assistance",https://www.usa.gov/housing-help/rental-housing-programs,Home,"Housing help","Rental assistance","Rental assistance","Rental assistance","Rental assistance","USAGov English",not_homepage,https://www.usa.gov/es/programas-ayuda-pagar-renta
3,"Life Events","Life Events",basic_page,/life-events/death-loved-one,755,"Dealing with the death of a loved one",https://www.usa.gov/life-events/death-loved-one,Home,"Life events","Dealing with the death of a loved one","Dealing with the death of a loved one","Dealing with the death of a loved one","Dealing with the death of a loved one","USAGov English",not_homepage,https://www.usa.gov/es/muerte-de-un-ser-querido
3,"Life Events","Life Events",basic_page,/life-events/early-childhood,754,"Having a child and early childhood",https://www.usa.gov/life-events/early-childhood,Home,"Life events","Having a child and early childhood","Having a child and early childhood","Having a child and early childhood","Having a child and early childhood","USAGov English",not_homepage,https://www.usa.gov/es/embarazo-primera-infancia
3,"Life Events","Life Events",basic_page,/life-events/financial-hardship,756,"Facing financial hardship",https://www.usa.gov/life-events/financial-hardship,Home,"Life events","Facing financial hardship","Facing financial hardship","Facing financial hardship","Facing financial hardship","USAGov English",not_homepage,https://www.usa.gov/es/enfrentar-dificultades-economicas
3,"Navigation Page","Navigation Page",basic_page,/housing-help/emergency-housing-assistance,226,"Emergency housing assistance",https://www.usa.gov/housing-help/emergency-housing-assistance,Home,"Housing help","Emergency housing assistance","Emergency housing assistance","Emergency housing assistance","Emergency housing assistance","USAGov English",not_homepage,https://www.usa.gov/es/ayuda-emergencia-vivienda
5,"Content Page","Standard Page",basic_page,/about/partner-with-usagov/features/featuresdifference-between-government-grants-and-loans,1726,"What’s the difference between government grants and loans?",https://www.usa.gov/about/partner-with-usagov/features/featuresdifference-between-government-grants-and-loans,Home,"About USAGov","Partner with USAGov","USAGov feature articles","What’s the difference between government grants and loans?","What’s the difference between government grants and loans?","USAGov English",not_homepage,None
5,"Content Page","Standard Page",basic_page,/about/partner-with-usagov/features/featuresthe-988-lifeline-and-other-mental-health-services,1727,"The 988 Lifeline and other mental health services",https://www.usa.gov/about/partner-with-usagov/features/featuresthe-988-lifeline-and-other-mental-health-services,Home,"About USAGov","Partner with USAGov","USAGov feature articles","The 988 Lifeline and other mental health services","The 988 Lifeline and other mental health services","USAGov English",not_homepage,None
5,"Content Page","Standard Page",basic_page,/about/partner-with-usagov/features/featuresfive-tips-for-reporting-a-scam,1744,"Five tips for reporting a scam",https://www.usa.gov/about/partner-with-usagov/features/featuresfive-tips-for-reporting-a-scam,Home,"About USAGov","Partner with USAGov","USAGov feature articles","Five tips for reporting a scam","Five tips for reporting a scam","USAGov English",not_homepage,None
5,"Content Page","Standard Page",basic_page,/about/partner-with-usagov/features/featuresget-help-for-homelessness-hunger-and-more,1725,"Get help for homelessness, hunger, and more",https://www.usa.gov/about/partner-with-usagov/features/featuresget-help-for-homelessness-hunger-and-more,Home,"About USAGov","Partner with USAGov","USAGov feature articles","Get help for homelessness, hunger, and more","Get help for homelessness, hunger, and more","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/travel/passport/child-passport,415,"Get or renew a passport for a minor under 18",https://www.usa.gov/travel/passport/child-passport,Home,Travel,"U.S. passports","Get or renew a passport for a minor under 18","Get or renew a passport for a minor under 18","Get or renew a passport for a minor under 18","USAGov English",not_homepage,https://www.usa.gov/es/solicitar-pasaporte-para-menor-18-anos
3,"Navigation Page","Navigation Page",basic_page,/travel/travel-abroad,408,"U.S. citizens traveling abroad",https://www.usa.gov/travel/travel-abroad,Home,Travel,"U.S. citizens traveling abroad","U.S. citizens traveling abroad","U.S. citizens traveling abroad","U.S. citizens traveling abroad","USAGov English",not_homepage,https://www.usa.gov/es/estadounidenses-viajes-extranjero
3,"Navigation Page","Navigation Page",basic_page,/travel/travel-to-within-us,391,"Travel to or within the U.S.",https://www.usa.gov/travel/travel-to-within-us,Home,Travel,"Travel to or within the U.S.","Travel to or within the U.S.","Travel to or within the U.S.","Travel to or within the U.S.","USAGov English",not_homepage,https://www.usa.gov/es/extranjeros-viajan-estados-unidos
4,"Navigation Page","Navigation Page",basic_page,/travel/travel-to-within-us/visit-united-states,772,"Visit the U.S. as a tourist",https://www.usa.gov/travel/travel-to-within-us/visit-united-states,Home,Travel,"Travel to or within the U.S.","Visit the U.S. as a tourist","Visit the U.S. as a tourist","Visit the U.S. as a tourist","USAGov English",not_homepage,https://www.usa.gov/es/turistas-visitan-estados-unidos
3,"Navigation Page","Navigation Page",basic_page,/money/government-grants-and-loans,35,"Government grants and loans",https://www.usa.gov/money/government-grants-and-loans,Home,"Money and credit","Government grants and loans","Government grants and loans","Government grants and loans","Government grants and loans","USAGov English",not_homepage,https://www.usa.gov/es/prestamos-y-subvenciones
4,"Content Page","Standard Page",basic_page,/travel/passport/apply-adult-passport,413,"Apply for a new adult passport",https://www.usa.gov/travel/passport/apply-adult-passport,Home,Travel,"U.S. passports","Apply for a new adult passport","Apply for a new adult passport","Apply for a new adult passport","USAGov English",not_homepage,https://www.usa.gov/es/solicitar-pasaporte-estadounidense-primera-vez
4,"Content Page","Standard Page",basic_page,/about-the-us/facts-figures/presidents,156,"Presidents, vice presidents, and first ladies",https://www.usa.gov/about-the-us/facts-figures/presidents,Home,"About the U.S. and its government","U.S. facts and figures","Presidents, vice presidents, and first ladies","Presidents, vice presidents, and first ladies","Presidents, vice presidents, and first ladies","USAGov English",not_homepage,https://www.usa.gov/es/presidente-vicepresidente-primera-dama
2,"Navigation Page","Navigation Page",basic_page,/analytics-dashboard-redirect,1884,"USA.gov website data",https://www.usa.gov/analytics-dashboard-redirect,Home,Home,Home,Home,Home,Home,"USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/travel/passport/renew-adult-passport,414,"Renew an adult passport",https://www.usa.gov/travel/passport/renew-adult-passport,Home,Travel,"U.S. passports","Renew an adult passport","Renew an adult passport","Renew an adult passport","USAGov English",not_homepage,https://www.usa.gov/es/renovar-pasaporte-adulto
3,"Navigation Page","Navigation Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa,352,"Permanent Resident (Green) Card and immigrant visas",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Immigrant visas and Green Cards","Immigrant visas and Green Cards","Immigrant visas and Green Cards","USAGov English",not_homepage,https://www.usa.gov/es/green-card-residencia-permanente-visas-inmigrante
5,"Navigation Page","Navigation Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/visas/green-card-lottery,368,"Diversity Immigrant Visa Program (Green Card Lottery)",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/visas/green-card-lottery,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Apply for an immigrant visa","Diversity Immigrant Visa (Green Card Lottery)","Diversity Immigrant Visa (Green Card Lottery)","USAGov English",not_homepage,https://www.usa.gov/es/loteria-visas-dv
4,"Navigation Page","Navigation Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/how-to-get-green-card,365,"How to get a Green Card",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/how-to-get-green-card,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","How to get a Green Card","How to get a Green Card","How to get a Green Card","USAGov English",not_homepage,https://www.usa.gov/es/solicitud-green-card-residencia-permanente
5,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/how-to-get-green-card/green-card-consular-process,363,"How to get a Green Card from outside the U.S.",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/how-to-get-green-card/green-card-consular-process,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","How to get a Green Card","Green Card from outside the U.S.","Green Card from outside the U.S.","USAGov English",not_homepage,https://www.usa.gov/es/solicitud-green-card-desde-extranjero
3,"Navigation Page","Navigation Page",basic_page,/immigration-and-citizenship/become-us-citizen,376,"U.S. citizenship",https://www.usa.gov/immigration-and-citizenship/become-us-citizen,Home,"Immigration and U.S. citizenship","U.S. citizenship","U.S. citizenship","U.S. citizenship","U.S. citizenship","USAGov English",not_homepage,https://www.usa.gov/es/naturalizacion-ciudadania-estados-unidos
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/travel,389,Travel,https://www.usa.gov/travel,Home,Travel,Travel,Travel,Travel,Travel,"USAGov English",not_homepage,https://www.usa.gov/es/viajes
3,"Content Page","Standard Page",basic_page,/about-the-us/branches-of-government,155,"Branches of the U.S. government",https://www.usa.gov/about-the-us/branches-of-government,Home,"About the U.S. and its government","Branches of government","Branches of government","Branches of government","Branches of government","USAGov English",not_homepage,https://www.usa.gov/es/ramas-gobierno-estados-unidos
3,"Navigation Page","Navigation Page",basic_page,/travel/passport,417,"U.S. passports",https://www.usa.gov/travel/passport,Home,Travel,"U.S. passports","U.S. passports","U.S. passports","U.S. passports","USAGov English",not_homepage,https://www.usa.gov/es/pasaporte-estados-unidos
4,"Content Page","Standard Page",basic_page,/complaints/consumer-complaints/telemarketer-scam-call-complaints,1713,"Complain about phone and text scams, robocalls, and telemarketers",https://www.usa.gov/complaints/consumer-complaints/telemarketer-scam-call-complaints,Home,Complaints,"Consumer product and service complaints","Telemarketer and scam call complaints","Telemarketer and scam call complaints","Telemarketer and scam call complaints","USAGov English",not_homepage,https://www.usa.gov/es/quejas-llamadas-telemercadeo
3,"Content Page","Standard Page",basic_page,/complaints/bank-credit-complaints,1720,"Bank, credit, and securities complaints",https://www.usa.gov/complaints/bank-credit-complaints,Home,Complaints,"Bank, credit, and securities complaints","Bank, credit, and securities complaints","Bank, credit, and securities complaints","Bank, credit, and securities complaints","USAGov English",not_homepage,https://www.usa.gov/es/quejas-bancos-agencias-crediticias
3,"Content Page","Standard Page",basic_page,/complaints/travel-complaints,1721,"Complaints about travel",https://www.usa.gov/complaints/travel-complaints,Home,Complaints,"Complaints about travel","Complaints about travel","Complaints about travel","Complaints about travel","USAGov English",not_homepage,https://www.usa.gov/es/quejas-viajes
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/disasters-and-emergencies,184,"Disasters and emergencies",https://www.usa.gov/disasters-and-emergencies,Home,"Disasters and emergencies","Disasters and emergencies","Disasters and emergencies","Disasters and emergencies","Disasters and emergencies","USAGov English",not_homepage,https://www.usa.gov/es/desastres-emergencias
4,"Content Page","Standard Page",basic_page,/disasters-and-emergencies/disaster-financial-help/disaster-assistance,190,"How to apply for disaster assistance",https://www.usa.gov/disasters-and-emergencies/disaster-financial-help/disaster-assistance,Home,"Disasters and emergencies","Financial assistance after a disaster","Apply for disaster assistance","Apply for disaster assistance","Apply for disaster assistance","USAGov English",not_homepage,https://www.usa.gov/es/solicitar-asistencia-desastre
3,"Navigation Page","Navigation Page",basic_page,/money/credit,1728,"Credit reports and scores",https://www.usa.gov/money/credit,Home,"Money and credit","Credit reports and scores","Credit reports and scores","Credit reports and scores","Credit reports and scores","USAGov English",not_homepage,https://www.usa.gov/es/informes-puntajes-credito
4,"Content Page","Standard Page",basic_page,/housing-help/emergency-housing-assistance/emergency-housing,224,"Find emergency housing",https://www.usa.gov/housing-help/emergency-housing-assistance/emergency-housing,Home,"Housing help","Emergency housing assistance","Find emergency housing","Find emergency housing","Find emergency housing","USAGov English",not_homepage,https://www.usa.gov/es/vivienda-personas-sin-hogar
4,"Content Page","Standard Page",basic_page,/housing-help/emergency-housing-assistance/emergency-pay-rent,225,"Find emergency help paying your rent",https://www.usa.gov/housing-help/emergency-housing-assistance/emergency-pay-rent,Home,"Housing help","Emergency housing assistance","Help paying your rent","Help paying your rent","Help paying your rent","USAGov English",not_homepage,https://www.usa.gov/es/ayuda-emergencia-pagar-renta
4,"Content Page","Standard Page",basic_page,/housing-help/rental-housing-programs/rent-help-groups,210,"Find rental assistance for specific groups",https://www.usa.gov/housing-help/rental-housing-programs/rent-help-groups,Home,"Housing help","Rental assistance","Rental assistance for specific groups","Rental assistance for specific groups","Rental assistance for specific groups","USAGov English",not_homepage,https://www.usa.gov/es/ayuda-alquiler-veteranos-personas-discapacidad
4,"Content Page","Standard Page",basic_page,/housing-help/repairing-home/home-repair-programs,218,"Government home repair assistance programs",https://www.usa.gov/housing-help/repairing-home/home-repair-programs,Home,"Housing help","Home repair and energy assistance","Home repair assistance","Home repair assistance","Home repair assistance","USAGov English",not_homepage,https://www.usa.gov/es/programas-reparar-viviendas
4,"Content Page","Standard Page",basic_page,/housing-help/buying-home-programs/home-ownership-voucher,215,"Homeownership vouchers for first-time home buyers",https://www.usa.gov/housing-help/buying-home-programs/home-ownership-voucher,Home,"Housing help","Home buying assistance","Homeownership vouchers","Homeownership vouchers","Homeownership vouchers","USAGov English",not_homepage,https://www.usa.gov/es/programas-gobierno-compra-vivienda
3,"Content Page","Standard Page",basic_page,/housing-help/change-address,212,"How to change your address",https://www.usa.gov/housing-help/change-address,Home,"Housing help","How to change your address","How to change your address","How to change your address","How to change your address","USAGov English",not_homepage,https://www.usa.gov/es/cambiar-direccion-correo-postal
3,"Content Page","Standard Page",basic_page,/jobs-labor-laws-unemployment/unemployment-benefits,278,"Unemployment benefits",https://www.usa.gov/jobs-labor-laws-unemployment/unemployment-benefits,Home,"Jobs, labor laws and unemployment","Unemployment benefits","Unemployment benefits","Unemployment benefits","Unemployment benefits","USAGov English",not_homepage,https://www.usa.gov/es/beneficios-desempleo
3,"Navigation Page","Navigation Page",basic_page,/jobs-labor-laws-unemployment/job-search,297,"How to find jobs and free training",https://www.usa.gov/jobs-labor-laws-unemployment/job-search,Home,"Jobs, labor laws and unemployment","How to find a job","How to find a job","How to find a job","How to find a job","USAGov English",not_homepage,https://www.usa.gov/es/encontrar-trabajo-capacitacion-laboral
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/laws-and-legal-issues,13,"Laws and legal issues",https://www.usa.gov/laws-and-legal-issues,Home,"Laws and legal issues","Laws and legal issues","Laws and legal issues","Laws and legal issues","Laws and legal issues","USAGov English",not_homepage,https://www.usa.gov/es/leyes-y-asuntos-legales
4,"Content Page","Standard Page",basic_page,/jobs-labor-laws-unemployment/job-search/job-help,295,"How to find a job",https://www.usa.gov/jobs-labor-laws-unemployment/job-search/job-help,Home,"Jobs, labor laws and unemployment","How to find a job","Where to look for a job","Where to look for a job","Where to look for a job","USAGov English",not_homepage,https://www.usa.gov/es/buscar-trabajo
3,"Content Page","Standard Page",basic_page,/laws-and-legal-issues/legal-aid,18,"Find a lawyer and affordable legal aid",https://www.usa.gov/laws-and-legal-issues/legal-aid,Home,"Laws and legal issues","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid","USAGov English",not_homepage,https://www.usa.gov/es/asistencia-legal-gratis
4,"Content Page","Standard Page",basic_page,/complaints/housing-complaints/mortgage-company-complaints,1719,"File a complaint about a mortgage company",https://www.usa.gov/complaints/housing-complaints/mortgage-company-complaints,Home,Complaints,"Housing complaints","Complaints about mortgage companies","Complaints about mortgage companies","Complaints about mortgage companies","USAGov English",not_homepage,https://www.usa.gov/es/quejas-prestamistas-hipotecarios
4,"Content Page","Standard Page",basic_page,/jobs-labor-laws-unemployment/labor-laws/workplace-laws,294,"Workplace laws",https://www.usa.gov/jobs-labor-laws-unemployment/labor-laws/workplace-laws,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Workplace laws","Workplace laws","Workplace laws","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/jobs-labor-laws-unemployment/labor-laws/workers-compensation,292,"Workers' compensation",https://www.usa.gov/jobs-labor-laws-unemployment/labor-laws/workers-compensation,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Workers&#039; compensation","Workers&#039; compensation","Workers&#039; compensation","USAGov English",not_homepage,https://www.usa.gov/es/compensacion-indemnizacion-accidente-trabajo
5,"Content Page","Standard Page",basic_page,/about/website-policies-and-notices/accessibility/will-your-computer-work,196,"Will my computer work with USA.gov?",https://www.usa.gov/about/website-policies-and-notices/accessibility/will-your-computer-work,Home,"About USAGov","Website policies and notices","Accessibility policy","Will my computer work with USA.gov?","Will my computer work with USA.gov?","USAGov English",not_homepage,https://www.usa.gov/es/funcionara-mi-dispositivo
4,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/work-permit-ead,387,"Work in the U.S. with a work permit (EAD)",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/work-permit-ead,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Work permit (EAD)","Work permit (EAD)","Work permit (EAD)","USAGov English",not_homepage,https://www.usa.gov/es/permiso-de-trabajo-ead
3,"Navigation Page","Navigation Page",basic_page,/about/website-policies-and-notices,168,"Website policies and notices",https://www.usa.gov/about/website-policies-and-notices,Home,"About USAGov","Website policies and notices","Website policies and notices","Website policies and notices","Website policies and notices","USAGov English",not_homepage,https://www.usa.gov/es/politicas-avisos-del-sitio-web
4,"Content Page","Standard Page",basic_page,/housing-help/rental-housing-programs/housing-voucher-section-8,208,"Housing choice voucher (Section 8)",https://www.usa.gov/housing-help/rental-housing-programs/housing-voucher-section-8,Home,"Housing help","Rental assistance","Housing choice voucher (Section 8)","Housing choice voucher (Section 8)","Housing choice voucher (Section 8)","USAGov English",not_homepage,https://www.usa.gov/es/vales-eleccion-vivienda-seccion-8
4,"Navigation Page","Navigation Page",basic_page,/jobs-labor-laws-unemployment/labor-laws/wage-laws,287,"Wage laws",https://www.usa.gov/jobs-labor-laws-unemployment/labor-laws/wage-laws,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Wage laws","Wage laws","Wage laws","USAGov English",not_homepage,https://www.usa.gov/es/leyes-salarios
5,"Content Page","Standard Page",basic_page,/travel/travel-to-within-us/visit-united-states/visa-waiver-esta,773,"Visa Waiver Program and ESTA application",https://www.usa.gov/travel/travel-to-within-us/visit-united-states/visa-waiver-esta,Home,Travel,"Travel to or within the U.S.","Visit the U.S. as a tourist","Visa Waiver Program and ESTA application","Visa Waiver Program and ESTA application","USAGov English",not_homepage,https://www.usa.gov/es/solicitud-esta-programa-exencion-de-visa
3,"Navigation Page","Navigation Page",basic_page,/military-and-veterans/veteran-jobs-training,345,"Veterans jobs and training",https://www.usa.gov/military-and-veterans/veteran-jobs-training,Home,"Military and veterans","Veterans jobs and training","Veterans jobs and training","Veterans jobs and training","Veterans jobs and training","USAGov English",not_homepage,None
4,"Navigation Page","Navigation Page",basic_page,/military-and-veterans/military-pay-benefits/veterans-health,342,"Veterans health",https://www.usa.gov/military-and-veterans/military-pay-benefits/veterans-health,Home,"Military and veterans","Military pay and benefits","Veterans health","Veterans health","Veterans health","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/travel/travel-abroad/trusted-traveler-program,406,"Save time getting through airport security with Trusted Traveler Programs",https://www.usa.gov/travel/travel-abroad/trusted-traveler-program,Home,Travel,"U.S. citizens traveling abroad","Trusted Traveler Programs","Trusted Traveler Programs","Trusted Traveler Programs","USAGov English",not_homepage,https://www.usa.gov/es/programas-viajeros-confianza-trusted-traveler
3,"Navigation Page","Navigation Page",basic_page,/about-the-us/tribes,151,"Federally recognized Indian tribes and resources for Native Americans",https://www.usa.gov/about-the-us/tribes,Home,"About the U.S. and its government","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans","Indian tribes and resources for Native Americans","USAGov English",not_homepage,None
4,"Navigation Page","Navigation Page",basic_page,/jobs-labor-laws-unemployment/labor-laws/termination-of-employment,290,"Termination of employment",https://www.usa.gov/jobs-labor-laws-unemployment/labor-laws/termination-of-employment,Home,"Jobs, labor laws and unemployment","Labor laws and worker protection","Termination of employment","Termination of employment","Termination of employment","USAGov English",not_homepage,https://www.usa.gov/es/despido-terminacion-empleo
3,"Content Page","Standard Page",basic_page,/housing-help/tenant-rights,213,"Tenant rights",https://www.usa.gov/housing-help/tenant-rights,Home,"Housing help","Tenant rights","Tenant rights","Tenant rights","Tenant rights","USAGov English",not_homepage,https://www.usa.gov/es/derechos-inquilinos
5,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/non-immigrant-visas/nonimmigrant-work-visa/temporary-work-visa,821,"Temporary visa to work in the U.S.",https://www.usa.gov/immigration-and-citizenship/non-immigrant-visas/nonimmigrant-work-visa/temporary-work-visa,Home,"Immigration and U.S. citizenship","Nonimmigrant and tourist visas","Nonimmigrant work visas","Temporary work visa","Temporary work visa","USAGov English",not_homepage,https://www.usa.gov/es/visa-no-inmigrante-trabajo
4,"Content Page","Standard Page",basic_page,/housing-help/rental-housing-programs/subsidized-rental-housing,207,"Find subsidized rental housing",https://www.usa.gov/housing-help/rental-housing-programs/subsidized-rental-housing,Home,"Housing help","Rental assistance","Subsidized rental housing","Subsidized rental housing","Subsidized rental housing","USAGov English",not_homepage,https://www.usa.gov/es/vivienda-subsidiada-alquiler
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/small-business,435,"Small business",https://www.usa.gov/small-business,Home,"Small business","Small business","Small business","Small business","Small business","USAGov English",not_homepage,https://www.usa.gov/es/pequenas-empresas
3,"Navigation Page","Navigation Page",basic_page,/education/study-in-us,308,"Study in the U.S.",https://www.usa.gov/education/study-in-us,Home,Education,"Study in the U.S.","Study in the U.S.","Study in the U.S.","Study in the U.S.","USAGov English",not_homepage,https://www.usa.gov/es/estudiar-en-estados-unidos
3,"Navigation Page","Navigation Page",basic_page,/military-and-veterans/selective-service,333,"Selective Service",https://www.usa.gov/military-and-veterans/selective-service,Home,"Military and veterans","Selective Service","Selective Service","Selective Service","Selective Service","USAGov English",not_homepage,https://www.usa.gov/es/servicio-selectivo-servicio-militar
3,"Navigation Page","Navigation Page",basic_page,/laws-and-legal-issues/request-documents,14,"Get copies of vital records and ID cards",https://www.usa.gov/laws-and-legal-issues/request-documents,Home,"Laws and legal issues","Request copies of vital records and ID cards","Request copies of vital records and ID cards","Request copies of vital records and ID cards","Request copies of vital records and ID cards","USAGov English",not_homepage,https://www.usa.gov/es/certificado-del-registro
4,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/deportation/report-immigration-violation,383,"How to report an immigration violation",https://www.usa.gov/immigration-and-citizenship/deportation/report-immigration-violation,Home,"Immigration and U.S. citizenship",Deportation,"Report an immigration violation","Report an immigration violation","Report an immigration violation","USAGov English",not_homepage,https://www.usa.gov/es/reportar-violacion-leyes-inmigracion-estados-unidos
4,"Content Page","Standard Page",basic_page,/about/products-programs/search-gov,817,Search.gov,https://www.usa.gov/about/products-programs/search-gov,Home,"About USAGov","Products and programs",Search.gov,Search.gov,Search.gov,"USAGov English",not_homepage,https://www.usa.gov/es/buscador-search-gov
4,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/become-us-citizen/renounce-lose-citizenship,375,"Renounce or lose your citizenship",https://www.usa.gov/immigration-and-citizenship/become-us-citizen/renounce-lose-citizenship,Home,"Immigration and U.S. citizenship","U.S. citizenship","Renounce or lose your citizenship","Renounce or lose your citizenship","Renounce or lose your citizenship","USAGov English",not_homepage,https://www.usa.gov/es/renunciar-perder-nacionalidad-estadounidense
4,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/renew-green-card,349,"How to renew or replace your Permanent Resident Card (Green Card)",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/renew-green-card,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Renew or replace your Permanent Resident Card (Green Card)","Renew or replace your Permanent Resident Card (Green Card)","Renew or replace your Permanent Resident Card (Green Card)","USAGov English",not_homepage,https://www.usa.gov/es/renovar-reemplazar-green-card
4,"Navigation Page","Navigation Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/refugee-and-asylum,360,"Refugees and asylum",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/refugee-and-asylum,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Refugees and asylum","Refugees and asylum","Refugees and asylum","USAGov English",not_homepage,https://www.usa.gov/es/asilo-refugio-estados-unidos
